uid,title,link,is_comp_method,is_tool,is_annotation_tool,is_database,is_application,is_benchmark,has_comparisons,comment
30921354,Phenotypic subgrouping and multi-omics analyses reveal reduced diazepam-binding inhibitor (DBI) protein levels in autism spectrum disorder with severe language impairment.,https://doi.org/10.1371/journal.pone.0214198,,,,,y,,,IPA
30984238,Simultaneous Interrogation of Cancer Omics to Identify Subtypes With Significant Clinical Differences.,https://doi.org/10.3389/fgene.2019.00236,y,,,,,,,"against single-omics, SMF, iCluster, moCluster, Clusteromics"
31049575,MOSClip: multi-omic and survival pathway analysis for the identification of survival associated gene and modules.,https://doi.org/10.1093/nar/gkz324,y,y,,,,,,
31071195,Multi-omics characterization of the necrotrophic mycoparasite Saccharomycopsis schoenii.,https://doi.org/10.1371/journal.ppat.1007692,,,,,y,,,
31120942,A multiobjective multi-view cluster ensemble technique: Application in patient subclassification.,https://doi.org/10.1371/journal.pone.0216904,y,,,,,,y,"against MVDA, LRAcluster, PINS, SNF, iClusterBayes"
31248362,Block Forests: random forests for blocks of clinical and omics covariate data.,https://doi.org/10.1186/s12859-019-2942-y,y,,,,,y,y,"5 RF variants (VarProb, SplitWeights, BlockVarSel, RandomBlock, and BlockForest) against lasso, priority lassso IPF-lasso"
31251748,From genomic to LC-MS/MS evidence: Analysis of PfEMP1 in Benin malaria cases.,https://doi.org/10.1371/journal.pone.0218012,,,,,y,,,
31295267,Machine and deep learning meet genome-scale metabolic modeling.,https://doi.org/10.1371/journal.pcbi.1007084,,,,,,,,"wow, this is a review; why is it here?"
31329928,Data-driven characterization of molecular phenotypes across heterogeneous sample collections.,https://doi.org/10.1093/nar/gkz281,y,,,,,,,"""multi-study"" part is novel, not the tSNE itself"
31393866,Tagger-A Swiss army knife for multiomics to dissect cell type-specific mechanisms of gene expression in mice.,https://doi.org/10.1371/journal.pbio.3000374,,,,,y,,,
31527878,Unified feature association networks through integration of transcriptomic and proteomic data.,https://doi.org/10.1371/journal.pcbi.1007241,y,,,,,,y,"GENIE3 against pearson,spearman,MIM,MRNETB,CLR,ARCANE,MINET,MRNET"
31660856,A hierarchical integration deep flexible neural forest framework for cancer subtype classification by integrating multi-omics data.,https://doi.org/10.1186/s12859-019-3116-7,y,,,,,,y,against PCA and NMF
31792061,Evaluation of colorectal cancer subtypes and cell lines using deep learning.,https://doi.org/10.26508/lsa.201900517,y,,,,,,y,"against MOFA, iCluster+ and PCA"
31805986,The SMART App: an interactive web application for comprehensive DNA methylation analysis and visualization.,https://doi.org/10.1186/s13072-019-0316-3,,y,,,,,,
31869403,"Use of >100,000 NHLBI Trans-Omics for Precision Medicine (TOPMed) Consortium whole genome sequences improves imputation quality and detection of rare variant associations in admixed African and Hispanic/Latino populations.",https://doi.org/10.1371/journal.pgen.1008500,,,,,y,,,
31877197,Comprehensive analysis of putative dihydroflavonol 4-reductase gene family in tea plant.,https://doi.org/10.1371/journal.pone.0227225,,,,,y,,,
31918677,Multiset sparse partial least squares path modeling for high dimensional omics data analysis.,https://doi.org/10.1186/s12859-019-3286-3,y,,,,,,y,mPLS against MOFA
31937348,DENDRO: genetic heterogeneity profiling and subclone detection by single-cell RNA sequencing.,https://doi.org/10.1186/s13059-019-1922-x,y,,,,,,y,(not relevant)
32014031,scAI: an unsupervised approach for the integrative analysis of parallel single-cell transcriptomic and epigenomic profiles.,https://doi.org/10.1186/s13059-020-1932-8,y,,,,,,,scAI against MOFA
32047062,Visualizing Microbial Community Dynamics via a Controllable Soil Environment.,https://doi.org/10.1128/mSystems.00645-19,,,,,y,,,
32127417,RETrace: simultaneous retrospective lineage tracing and methylation profiling of single cells.,https://doi.org/10.1101/gr.255851.119,,,,,,,,wet?
32240163,Multiview learning for understanding functional multiomics.,https://doi.org/10.1371/journal.pcbi.1007677,,,,,,,,review!
32282793,DRAMS: A tool to detect and re-align mixed-up samples for integrative studies of multi-omics data.,https://doi.org/10.1371/journal.pcbi.1007522,y,,,,,,,
32293260,Sparse multiple co-Inertia analysis with application to integrative analysis of multi -Omics data.,https://doi.org/10.1186/s12859-020-3455-4,y,,,,,,,smCIA and ssmCIA against mCIA
32299344,PathME: pathway based multi-modal sparse autoencoders for clustering of patient-level multi-omics data.,https://doi.org/10.1186/s12859-020-3465-2,y,,,,,,,"PathME against sNMF, SNF, iCluster"
32393329,MOFA+: a statistical framework for comprehensive integration of multi-modal single-cell data.,https://doi.org/10.1186/s13059-020-02015-1,y,,,,,,,only in form of a table (Supplementary Table 3)?
32503412,PS4DR: a multimodal workflow for identification and prioritization of drugs based on pathway signatures.,https://doi.org/10.1186/s12859-020-03568-5,,y,,,,,,
